Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
1,1,1,15,20,20,20,20,1,1,"Sacrifice the top 2 to give a better chance at holding the next 5 highest which would be enough to guarantee victory. Also, put at least 1 in every Castle in case opponent doesn't bother defending."
1,1,1,15,20,20,20,20,1,1,"Reasoning was psychological, with expected opponent preference for either near-exclusive focus on valuable castles or an even spread. This distribution is designed to defeat both approaches. At least 1 point in each punishes exclusive focus anywhere, while grabbing all mid-value castles will beat the top two, or three if you get all the low-value ones as well."
1,1,1,15,18,1,27,1,34,1,Put just over (castle VP number)/(28 points needed to win) at four locations totaling 25 VP with expectations of getting the remaining 3 VP from tying or winning another castle where the opponent has not placed troops
1,1,1,15,17,19,21,23,1,1,"55 possible points to be won, figure winning 30 points gets a win against most opponents. Let the opponent have the high point castles (9+10) to try and guarantee 30 points from the middle castles. At least 1 soldier at each castle in case the opponent has any zeroes"
1,1,1,15,15,15,16,16,10,10,Grab the middle and hope for the best
1,1,1,15,1,1,26,25,28,1,"I only need 28 points to win. Thus, I can spread my troops out over 4 castles (10, 9, 8, 1 or 9, 8, 7, 4). I chose the second option as I believe I am more likely to lose the 10 castles. Secondly, I want to win all the vacant castles by the other player. Thus, I can win even if I fail to secure all the castles I plan. My distribution was mainly based on a pro rata points spread with the exception, that if an opposing player distributed his/her castles pro rata over castles 1-7, I would still secure both and win."
1,1,1,14,16,19,22,24,1,1,Essentially abandoning the high point castles allows for many troops in castles required for majority.
1,1,1,14,15,16,25,25,1,1,"I tried pick a strategy that could counter strategies such as uniform deployment and top end (7,8,9,10) deployment. I focused on the middle castles, but left at least one troop everywhere to get free castles in case others leave them open."
1,1,1,14,14,14,14,14,14,13,"maximize chance to win 7, concede 3"
1,1,1,14,1,1,24,27,30,0,Voodoo
1,1,1,14,1,1,18,26,36,1,Safety Case
1,1,1,13,16,19,22,25,1,1,"Basically, give up 1,2,3,9, and 10 to anyone willing to fight over them (but not for free - punishing anyone who focuses too hard on specific castles) while committing more to the centre castles 4 to 8. If 4 to 8 are won, the majority of the points are won."
1,1,1,13,16,18,22,0,28,0,"I wanted to only go for 28 of the 55 points, but I hedged my bets by bidding 1 for the low values, hoping that I might win easy points."
1,1,1,12,17,18,20,26,2,2,"Tried to decisively win in the 4,5,6,7,8 range (if all wins, will definitely win), while devoting minimal resources to 1,2,3 and 9/10 but enough to take them if minimal support from other team. "
1,1,1,12,15,19,23,26,1,1,Duck the 9 and 10 but try and dominate enough to get victory.
1,1,1,12,14,16,17,18,19,1,"Sacrifice 10 (most likely contested) and low scoring castles, with token soldier in case someone did what I do but leaves 0.  Stack all middle tier castles with increasing quantities slightly proportionate to benefit."
1,1,1,12,12,9,1,1,31,31,"It was not nearly as systematic as I would have liked to have time for. But I designed a similar adjudication tool as you describe you'd use in excel. Started with testing a strategy of comparing single troop deviations from an initial point-value weighting. This led to the realization that I'd have too many iterations to test this searching for the local maximum to fit in m excel.

Knew that you just needed a winning coalition, not to represent on each castle (left one soldier on each to cut from cheaters, with slightly similar strategies, though thinking I maybe should've put two in each). Focused bulk of troops on 9 & 10 (my plan pretty much needs those to win, and realized I'd just need to pick up two of 4, 5, or 6, so put some troops there. 

I'm sure those who had more time probably tested their solutions against this type, but it's what I got."
1,1,1,12,1,1,20,25,37,1,Focus on getting 28 points and sacrificing the 10 point castle.
1,1,1,11,14,18,21,1,31,1,"I didn't want to focus on the big point value castles because people are going to waste a lot of soldiers on those unnecessarily. I went for the middle range ones, with a decent amount of soldiers on the 9 castle so that I could win one big one. I put 1's in 1, 2, 3, 8, and 10 just in case someone is foolish enough to not send any soldiers to a castle. Against both a uniform strategy (10 on all castles) and a weighted average strategy, (weight each castle according to its point value, then send a proportional amount of soldiers to that castle), my strategy wins 31 to 24. "
1,1,1,11,1,1,27,28,28,1,Picked a simple route to 28 and defended it without leaving any uncontested.
1,1,1,11,1,1,21,21,21,21,
1,1,1,10,14,18,24,20,10,1,"I am guessing a lot of people will overvalue castle 10 and to a lesser extent 9, so I am all but seceding those castles. I am hoping to win a majority of the middle ground by placing a disproportionate amount of troops there, and placing 1 troop everywhere else to beat others who are trying the same strategy as I am."
1,1,1,10,10,1,20,25,30,1,I wanted to put at least one soldier on every castle to try to win some without much resource allocation to them or at least split them with anyone else having the same idea. I put more soldiers on castles that I thought would give me the best chance to get to the key 28 points required for victory. Also I love the idea of the community interaction in the riddler this week!
1,1,1,9,11,13,18,20,25,1,
1,1,1,7,15,15,15,15,15,15,"I didnt really have a plan, but thought that I should evenly focus my troops on the higher level ones to get a better chance and put a single troop on the low ones in cas the enemy put 0"
1,1,1,7,15,15,15,15,10,10,I was looking to spread over my unites in as much of the middle numbers as possible.
1,1,1,7,12,14,16,21,27,0,"by sacrificing 10 I am hoping the enemy sends the bulk of their army to that castle and I can outright win the rest of the castles, I did not care about the lower castles but sent 1 to each just in case the enemy also did not care about the lesser castles"
1,1,1,7,11,15,20,21,22,1,"sacrifice #10, but load up on 5-9, knowing that 9 + any 3 of the other 4 will win it for you. also, putting 1 on 1, 2, 3, 10 just in case those were totally neglected by my enemy "
1,1,1,7,10,12,14,16,18,20,"Biased towards the more valuable castles, but not ignoring the high end.  Mostly ignoring the bottom 3, but one troop just in case."
1,1,1,7,10,12,14,16,18,20,"1 more than evenly dividing troops by points would suggest for 6 to 10. Same number as even division for 4 and 5. 1 troop each for 1, 2, 3."
1,1,1,7,8,17,26,37,1,1,Clustered at 4-8 to shoot for 55% of points hoping that most waste troops at 9-10. Put at least one in everything to grab any points from those who put zeros.
1,1,1,6,14,16,18,20,22,1,"I will concede no castles outright.  In placing one soldier on castle 10, I hope my opponent will have a lot of soldiers there -- those become 'wasted' soldiers.  To compensate, I put what I hope to be sufficiently heavy proportions on castles 5-9 to carry a good number of points."
1,1,1,6,10,14,10,19,15,23,Used a program to brute-force the best statistically best possible arrangement of soldiers using a smaller number of total soldiers. Reran the program with a higher number of soldiers and the additional requirement that any arrangement of soldiers had to also beat the previously best considered arrangement with some fuzziness. Extrapolated that second arrangement up to 100 total soldiers and fudged some numbers.
1,1,1,5,11,16,28,29,3,5,Because my buddy Tony showed me his plan and this one beat it. 
1,1,1,5,7,11,15,17,19,23,"Intuition, whim, and some very amateur gamesmanship."
1,1,1,5,5,10,1,25,1,50,It won the most random matchups I saw
1,1,1,4,1,1,25,30,35,1,Linderman said go for it!
1,1,1,3,6,11,18,23,22,14,"Poisson distribution around SQRT(10), with at least one troop per castle"
1,1,1,3,3,19,20,20,31,1,Assumed highest troop concentration would be castle 10 -- want to try and win castles 6-9
1,1,1,3,1,23,23,23,23,1,
1,1,1,2,10,12,16,17,19,21,Minimum of 1 to each to win any low hanging fruits -- then emphasize higher value castles
1,1,1,2,3,6,9,14,24,39,Mimics Fibonacci series. I approximated the percentages for the first ten numbers in the sequence to give higher strengths to higher value castles. 
1,1,1,2,3,5,20,21,22,24,"Try to win 7,8,9,10, and any other unchallenged castles."
1,1,1,2,3,5,10,20,21,36,"Fibonacci sequence with modifications. Aiming for 28 total points. Playing against a few different strategies. In a simple top 5 get 20 strategy, this wins the bottom castles plus 10 for the win. In an even spread, this gets 34 and wins. "
1,1,1,2,2,12,14,17,24,26,"I wanted to earn points if someone didn't put any troops at a castle, so I put minimal troops at the first five. Then I just tiered up the troop level at the rate the points go up. I may not win, but I'm confident I can go above .500"
1,1,1,2,2,11,13,1,23,45,"I worked with a few assumptions- You must get to 28. To do this you have to win outright a minimum of 4 towers. (10,9,8, and 1) It is always better to try for every tower with at least one troop. There is also never going to be a perfect strategy which beats all other strategies.  The best way to win will be by countering the most common strategies. The higher value towers are worth the most, but getting two lower towers will more often than not, net more value- 10 is equal or worth more than 1/2 of the tower value combinations, 9 is worth less than 1/2 of the combined pairings and so on. I based my selection loosely around the Fibonacci sequence (very loosely) and then chose 8 as a tower to essentially pass on so that I could maybe out guess some of the strategies which simply tried to win the higher towers. Here's hoping, To Battle!"
1,1,1,2,2,6,26,26,19,16,Since you need at least 28 points to win the war to win with the minimum number of castles you need to win 4 castles all of which are 6 points or higher. Knowing that distributed troops to beat most deployments that split troops evenly across 4 castles as well as to beat other potentially common distributions. Put some troops in lower value castles to try to reduce likelihood of splitting points in those areas reducing the likelihood of losing one higher point castle leading to losing the war.
1,1,1,2,2,2,2,2,42,45,"The Monarch of Riddler Nation will be the player who wins the most match-ups - only victory and defeat matter, not average scores. A winning strategy will be one that maximizes the number of (often very narrow) victories.

Therefore, one could do very well by concentrating all troops evenly among any combination of four castles (25 soldiers per castle) that together yield 28 or more victory points. There are 27 such combinations, all of which win against anyone who tries to spread troops more thinly among all 10 castles (e.g. [1,1,1,1,1,1,23,23,24,24]). The dominant strategy among these is [0,0,0,0,0,0,25,25,25,25], which defeats any other 4 x 25 combination (e.g. [0,0,0,25,0,25,0,25,0,25]).

I think enough people will start with a variation on 4 x 25 that it is the strategy to beat. The only successful counter involves piling more than 25 soldiers into a single castle, at the expense of potentially conceding another castle. How does one beat [0,0,0,0,0,0,25,25,25,25]? Easy! [0,0,0,0,0,0,24,25,25,26]!
Or better yet, [0,0,0,0,0,0,0,33,33,34]! And how does one beat that? [0,0,0,0,0,0,0,0,0,50,50]! But wait, that could be defeated by [0,0,0,0,0,0,0,0,0,100]!

If we take this to its logical extreme, the equilibrium strategy is to pile all soldiers into the highest value castle. This is because any strategy contesting a certain set of castles can be outdone by another that contests the most valuable of these castles *harder* at the expense of any single less valuable castle.

However, will this actually be successful in reality? I highly doubt it. An iterated series of matches between two opponents might very well result in this strategy being used, if only for a brief moment. Opponents stack troops in the 4 most important castles until one realizes targeting only the top 3 is even better, and so on until only the 10 victory point castle is contested. But this strategy would immediately be handily beaten (45-10) in the next round by an opponent who suddenly decides to send soldiers to all castles again.

Just like in the Keynesian Beauty Contest problem, most players will not take this game to its logical extreme. Here, anyone who contests only castle 10 will probably lose the vast majority of their contests. They will only beat those who contest a set of other castles with a combined value less than 10, which I think will be rather rare.

I think it's quite likely that most contestants will invest heavily in 3 or 4 castles. Stacking an absurd amount of soldiers in castles 9 and 10 can defeat most such strategies by snatching 19 victory points right off the bat, with hopefully enough VP coming to me from ties or narrow victories at lower VP castles.

This leaves me very vulnerable to very basic strategies (e.g. 10 soldiers per castle, or random placement) or to those that stack a minimum of 3 or 4 soldiers per castle, but I am hoping the presumed preponderance of 4 x 25 type strategies will scare people off from these types of even spreads.
"
1,1,1,1,31,26,1,21,16,1,"Saw this idea used in ""Kelly's Heroes""."
1,1,1,1,30,35,30,1,0,0,Luck.
1,1,1,1,24,24,1,23,23,1,I can't spend anymore time on this stupid castle game. I need to get back to work. This is the count I had in my Excel sheet when I decided I'd spent too much time on this.
1,1,1,1,23,23,1,24,24,1,Decided to play electoral college with this and focus on the 4 numbers that would get me half. I put 1 everywhere else to thwart other people doing the same thing 
1,1,1,1,23,23,1,24,24,1,"I didn't have any great ideas. But you need 28 points to win - might as well go for exactly 28. I think a lot of people will load up on 10. After that, just guesswork. Putting at least 1 on each castle is a cheap investment. "
1,1,1,1,23,23,1,23,24,1,"The goal is to get get 1 point more than half the points available (28). Therefore, it is mostly a waste of resources to allocate troops to getting additional points, an advantage to concentrate resources only on the castles you need to win.

The minimum number of forts needed to get this point total is 4.  I need to guess which set of 4 castles is the least likely for the majority of players to concentrate their forces on.  Castle 10 is an obvious ""honeypot"", so I'll avoid concentrating there. Castle 7 is the overlap between the needed ""high castles"" (7-10) and ""low castles"" (1-7). A good combination is then perhaps 9, 8, 6, and 5 (total 28).  I will mostly concede all the other castles, but since some people may totally concede a castle if they are concentrating forces as well, I will leave at least 1 troop at every castle.  Since I can't divide 93 evenly between 4 castles, I will give an additional troop at castle 9 since it's most valuable."
1,1,1,1,21,21,1,26,26,1,"winning 5, 6, 8, 9 wins"
1,1,1,1,20,21,1,26,27,1,"Punted on the 10, concentrated troops to get 28 points (minimum to win), deployed 1 troop to remaining castles just in case."
1,1,1,1,20,21,1,26,27,1,Fill all with at least one - hopefully easy points - and take an unconventional path to 28 that didn't use the 10. 
1,1,1,1,20,20,20,1,1,34,"So, there are 55 points, meaning that to win, one must get to 28.  1-7 seems too obvious, so I reject that.  I picked 5,6,7,10 because it seemed like a nice set.  I put 1 in each of the others to pick up some cheap points against people who zero them. Really, though, I'm just guessing.

I think that a more interesting problem would be to design an allocation strategy for the case where one sends troops to Castle 1, sees what the opponent did at Castle 1, and then moves on to Castle 2. That is, the strategy could adapt as the battle continues. "
1,1,1,1,19,19,19,19,19,1,"Avoid castle 10 as many will put a lot there, and divide most among the next 5 castles that are more than enough to win.  Leave 1 each in the remaining castles (including 10) to win points against those that leave 0 in some of castles, or also leave 1 in some of those castles."
1,1,1,1,18,19,1,26,31,1,"28 points are needed to ensure victory, which requires at least 4 castles. The optimum way to get there is 9, 8, 6, 5, so my main goal is to win those. I tried to account for players using strategies that focus on higher castles by weighing 9 and 8 more. I also threw 1 soldier on all the other castles - it decreases my forces to use on the four castles I want, but it may give me big gains against anyone using all of their soldiers on 4 or 5 castles. "
1,1,1,1,17,20,1,27,30,1,"55 points in total.
28 points to win.
pick 4 (least castles need) to achieve 28 points.
Avoid going for 10 because probably many people go for 10.
leave 1 on rest of castles in case people put down 0 troops there.
roughly leave rest of troops (94) proportionally on those particular 4 castles"
1,1,1,1,17,18,19,20,21,1,"Put 1 troop where I suspected many may put 0 (and thus win those castles with limited investment), and then spread the rest out relatively evenly but with the slightest skew of troops towards the higher values."
1,1,1,1,17,17,2,21,37,2,"This is a revision to my initial strategy. 9,8,6,and 5 are really what Im shooting to win. This also accounts for anyone that may disregard castles 1-4 and evenly distribute soldiers in 5-10."
1,1,1,1,17,17,1,26,34,1,"Primary strategy is to win 4 numbers to get to 28. I chose 9,8,6,5. Psychologically I assume people will go crazy to win 10 so I avoided 10. I set my armies to beat almost all simple strategies using other sets of 4 numbers (4 25's or 3 33's + 1 or even split from 1-7). I lose to 25 armies on 10, 7, 6 ,5 but you can't win them all. The spread out singles are key to beating people that leave castles undefended, allowing me to lose 9,8,6,or5 and still win. Analyzing strategies might be a fun topic for a follow up column . . . "
1,1,1,1,16,25,2,26,26,1,
1,1,1,1,16,24,25,28,1,2,"Firstly, I need to make sure to send 1 to each castle to pick up any freebies. 9 and 10 are the obvious castles, so I'm hoping my opponent overcommits. I spread the rest around the remaining high points in descending order because I suspect that is what my opponents will do, although hopefully with fewer remaining soldiers after those allocated to 9 and 10."
1,1,1,1,16,20,1,27,30,1,"Put 1 soldier in each castle in case an opponent doesn't put any, to get an ""easy victory.""
Pick castles representing a bare majority of points, and focus all remaining resources there.  Don't pick 10, or a string of numbers, as those seem too obvious.  Focus forces proportional to value.
"
1,1,1,1,16,19,1,28,31,1,"Victory requires 28 points, which requires a minimum of 4 castles. The sum of any castle and the 3 above it exceeds 28 points beginning at castle 6 (6,7,8,9), and then by 2 points. High value castles will be more competitive than low, so dropping castle 7 in favor of 5 places as many castles as possible as far down the list as possible. Weighting troop commitment by point value yields 18,21,29,32 for castles 5,6,8,9. In this case all castles are must win, one victory condition. Risking castles by diverting 6 troops (2 each from 5,6 and 1 from 8,9) picks up any remaining castle where no troops were committed by the opponent, laying claim to any of the remaining 27 points that might compensate for a tie or loss in the big 4. If the enemy also sends a token troop to every castle I still gain 13.5 points, within half a point of compensating for the total loss of any two of my must-win castles except for both 8 and 9. The solution is not rigorously tested, but it provides ubiquitous coverage while focusing maximum troop strength on the easiest targets necessary."
1,1,1,1,15,19,23,1,1,37,"If you want to win, you must acquire 28 or more points. This requires that you should spend approximately 3.57 units per point that you wish to acquire. Regardless of choice, each castle should have at least 1 unit assigned so to capture castles that the other player does not find interesting for their win strategy. 

My choices were based on the competition for 10, 9 and 8. I found that 10 is probably the most cost effective castle to win, but will also be heavily contested. Most would allocate either way too many points to this castle and leave others unguarded, or would allocate less than the optimal rate (rounded up) + 1. 9 and 8 are also essential to victory for a minimum castle set (4 castles, adding up to 28 or more), but without 10, require 2 more castles. I decided to avoid 8 and 9 based on the fact that if they wanted 10, they might also want 8 and 9. So instead, I focused my troops on  5, 6 and 7 to achieve my minimum of 28. 

I assumed that other players would either ignore the castles they did not want, in favor of the castles they did want, or they would allocate a minimum of 1 troop as well, in which there would be no point advantage to the castles they did not want. If only 1 troop is allocated to castles with little value to the strategy, then you have a maximum amount of troops to allocate to the 4 castles that you intend to take. "
1,1,1,1,15,19,1,26,34,1,"I want to win 28 points as comfortably as possible, and it can't be done with 3 castles. It can be done many ways with 4 castles, but 9+8+6+5 is the way that avoids the critical Castle 10; avoiding Castle 7 (versus playing 9+8+7+4) seems like a better choice as well. By playing 1 in each castle, this will also pick up points against other overloaded strategies that are likely to send 0. Castle 9 is set to be larger than 1/3 to beat heavily overloaded strategies, though it might be better to play it completely proportionally (17, 20, 27, 30 instead of 15, 19, 26, 34)

This strategy will soundly beat ""balanced"" strategies or strategies that overload Castle 10. It's still beatable for sure, but I think it will do well.

Thanks! This is a great idea."
1,1,1,1,13,13,1,25,41,3,"If I can take 9, 8,6, and 5 I win. However, I dont want to leave the others ungaurded."
1,1,1,1,12,18,20,22,24,0,"Not worth fighting for 10 as I assume needed troops for this will be high.  Hoping to win Castles 8 & 9 as well as two from 5, 6, & 7.  Placed just 1 in the lower Castles in case of (practically) free wins."
1,1,1,1,12,15,25,40,2,2,Need 28 points to win; expecting overwhelming force directed against highest castles.
1,1,1,1,11,21,21,21,21,1,"Casle 1, 2 and 3 are not that important. A lot of people will try to throw some casles. People like round numbers. A lot of people will try to win casle 10."
1,1,1,1,11,13,15,17,19,21,"If Castle # is N, I wanted to beat everyone who 2*N'ed the top half of the castles.  Doing so left me four four extra soldiers, and I put them down in the four bottom castles as maybe there's some easy pickin's there."
1,1,1,1,11,13,15,17,19,21,"I figured a stat-head would find a formula for best-case distribution of troops. I decided to up my soldiers in the higher places above what I thought was the statistically smart ""average."" I tossed one in each of the lower castles to simple snipe some points from anyone who leaves them empty, thinking them not worth the soldiers.

In simple terms: I'm guessing."
1,1,1,1,11,13,15,17,19,21,"The goal is to get to 28 points, but because there will be so many different strategies, my goal is to get as many points as possible. "
1,1,1,1,11,13,15,17,19,21,
1,1,1,1,11,12,21,21,31,0,Over-reliance on anticipation of the opponent's maneuvers. 
1,1,1,1,11,11,11,16,21,26,"One more than common round numbers on each with more focus on higher numbers. I used a loose model to estimate the expected value of several strategies against each other, and this was most successful (but it could just be effective against straw men)."
1,1,1,1,11,11,11,11,51,1,"I tried to come up with a strategy that took into account a few different principles:

(1) Win in at any unchallenged castle (i.e. at least 1 soldier to every castle... the pawns muahaha). 

(2) Counteract what I believe are high probability strategies (like at least 1 on every one [ha!], 10 evenly distributed throughout all, or heavy fights for 9 and 10)

As a law student, my strengths aren't math, but I did my best to figure the initial likelihoods of soldier distribution and adjust accordingly to evidence (just for example, I assume initially I'm going to lose the 10 castle 99% of the time, .9% of time I'll split it with someone, and .1% of time I'll win it; there's some hope that your saavy readers do the math and maybe put only 1 in that category b/c they assume like I do it's a lost cause but that they can't just toss it, putting 1, which increases probability that 8 or 9 is a battle ground). Tried to consider which categories I could lose and still come out on top with if I won my expected, and what I'd have to win if lost one of my expected. With more time I might actually do some kind of more consistent  Bayesian calculation but alas, once more into the breach!"
1,1,1,1,11,11,1,31,41,1,"In order to win this game,  you need to get the majority of points. 1+2+3+...+10=55. 55/2= 27.5. So the least amount of points you need to win is 28.

There are lots of ways to getting to 28.1+2+3+...+6=21 so you need at least castle 7 to win. This also means you are guaranteed to win with 7 castles. 10+9+8=27, so you need to win at least 4 castles as well. If you are only going to use 4 castles, you need castle 9 and/or castle 10 because 8+7+6+5=26.

My first strategy was to have at least one soldier go to each castle. That way if my opponent decides to only attack 4 castles, I am guaranteed 6.

My second strategy was to try to win with only 4 castles.  Since you need either castle 9 or 10, I figured they would be the most desired and soldiers would be sent accordingly. So instead of guarding both,  I decided to pick one. I decided to go with castle 9 and not 10. After that,  my options if I wanted only 4 castles were either castles 4, 7, 8, and 9 or castles 5, 6, 8, and 9. I went with the latter so I wouldn't have to win 7, 8, and 9.

Once I chose my 4 castles, I had 90 soldiers left to play with and sent them by weight.  40 more to castle 9, 30 more to castle 8, and 10 more to both castles 5 and 6. I put 10 more in those csdtles, in case someone just put 10 in each castle."
1,1,1,1,10,20,20,20,15,11,"11 on 10 to beat anyone who went 10 across the board. Less on 9 than 8 incase someone heavily tries to win the last two - can't compete - need to spread a bit. 6,7,8 with 20 is a decently powerful base to take which is likely to get at least one or two of them. 10 on 5 as it's worth something, then 1 to all the others - I mean it's at least worth trying - they total 10 together so I'd rather stock up on the higher ones."
1,1,1,1,10,10,20,20,35,1,
1,1,1,1,9,15,1,25,45,1,"I picked what I believe to be the easiest way to acquire 28 points, the amount required to win the battle. One needs to capture a minimum of 4 castles to achieve this, so this caused me to focus my troops on the four castles that would in my mind be most effective in achieving this. 

By giving up castle 10, it does not make any sense to pursue castles 1-4: their values are equal and it would be a waste of troops to capture one only for the other to offset the gain. To me, the only castles that matter are 5-9. Thus, I deployed troops in the way to most likely take the higher value targets while also hopefully overpowering the lower priority castles with troops gained by sending the bare minimum to half of the castles.

Also, the marginal value of 1 troop is so low that sending one to a castle on the chance that no other troops are sent seems to make sense."
1,1,1,1,7,22,22,22,22,1,"Abandon 10 because most people will invest too heavily there, send at least one to each place to give a chance to gain the areas with the highest likelihood of intentionally abandoned points, spread rest of soldiers equally across highest point locations 6 7 8 9, having at least 22 at each  (which attempts to one-up the approach of adding one to the seemingly round number 20)"
1,1,1,1,6,15,20,20,34,1,"Came upon this deployment with testing in spreadsheets. High value placed on high value castles while ensuring that there's at least a soldier at every castle to avoid splitting points with strategies that completely ignore lower value castles.

Came upon this strategy while testing out scenarios in sheets. I figure the 10 castle itself will be overvalued while the bulk of points come from 6-9 themselves. If my opponent overcommits too much to the 10 castle, I will easily sweep the rest of the castle points.

I always send at least one soldier to ensure I don't split points with any castles my opponent abandons."
1,1,1,1,6,11,16,26,36,1,"I abandoned castle 10 in hopes of saving troops where the other team might send a larger force. Focused more troops on castles 6-9, since those are more valuable, but saved at least 1 troop for the low value castles and castle 10 in case the other team also sent no one there."
1,1,1,1,6,11,16,21,21,21,"Send at least 1 solider per castle;  use ""1/6"" ending numbers on the assumption that many players will round to 0/5; send majority of armies to the highest-valued castles."
1,1,1,1,6,11,12,33,34,0,"Think of this as bidding at a silent auction instead of troop deployment. The value of Castle 10 is high enough that there will be lots of bids - leaving me a very small chance of winning it. So I put my resources elsewhere. The idea in general is to invest just enough to win each castle except Castle 10, but no more than necessary."
1,1,1,1,3,30,30,30,1,1,"People will prioritize castle 9 and 10 to get 19 points, but if I win 8, 7, and 6, I will get 21 points."
1,1,1,1,3,30,30,30,0,3,Gut feeling 
1,1,1,1,2,4,6,12,24,48,
1,1,1,1,2,2,7,11,23,51,"A game can be modeled in normal form. After solving the toy problems of (2,1), (2,2), (3,2), (2,3) where (troops, castles). One only wins in the upper triangle of the matrix. Using iterated domination can only reduce the real game space a bit. If one assumes there is a positive probability of the opponent playing all of the non-strictly dominated strategies, then a best-response is to mix over the available strategies with probability of winning as the mixing probabilities. I used a RNG, random module in python, to draw a deployment of troops in the set of feasible solutions. Then transitioned using pairwise castle changes until it was satisfactorily burned in ensuring that a positive number of troops were allocated to every castle. "
1,1,1,1,1,31,32,32,0,0,I'm trying to take advantage on the bottom 5 of people leaving those as 0. I'm also trying to beat people who put high amounts in 9 and 10. 8 7 6 are worth more combined than 9 and 10
1,1,1,1,1,31,1,31,1,31,Randomly chosen 
1,1,1,1,1,23,23,24,24,1,"Assume opponent uses resources on castle 10, but needs 18 more points to win, but can't get there without 6,7,8,9 which are heavily fortified."
1,1,1,1,1,21,36,36,1,1,"9 and 10 are too obvious, and people will deploy way too many to take them. 6, 7, 8 are more likely higher yield targets, 1-5 are worthless. I put one in them, just in case someone put 0."
1,1,1,1,1,21,21,26,26,1,"Loading up on 6 through 9 guarantees a win if all 4 of these numbers are won. Conceding the 10 to top-heavy strategies improves my chances of winning 6 through 9.Leaving 1 on the remaining spaces allows some versatility in the event that the opposing strategy involves loading up on some of the same numbers. This strategy can beat many strategies that I expect to be common, including ramps and top-heavy distributions."
1,1,1,1,1,20,24,25,25,1,
1,1,1,1,1,20,22,24,28,1,"I think most opponents will use some sort of strategy of going for the most valuable castles or mathematically increasing the number of troops in each castle. With this strategy I hope to beat both opponents in castles 6, 7, 8 and 9 and win the war that way, while sacrificing castle #10 but at least having a presence everywhere in case anyone disregards a castle completely."
1,1,1,1,1,20,20,27,27,1,"If I win 6,7,8,9 I will win everytime. I'm planning on people targeting 10 too much."
1,1,1,1,1,19,19,19,19,19,"I want to win the top 5.  If they put everything in 10 and 9;  6,7,8, will still beat them.  If they go 10 even, 6-10 will beat 1-5.  I am hoping this is a good guess!  :)"
1,1,1,1,1,19,19,19,19,19,"My college Game Theory professor has his students play this game (in a variation where each castle is 1 point.) He also keeps a database of students' previously used strategies.

Using this knowledge, I modified the code for this scoring system and created a bunch of copies of a couple strategies I expect people to deploy for this contest. This strategy held up pretty well against many variations that I added to the database."
1,1,1,1,1,17,18,19,20,21,"Try to 1 up the opponent at the top castles. Send a person to each of the bottom so I don't give away ""freebies"""
1,1,1,1,1,17,18,19,20,21,"I'm hoping for opponents with a 'balanced' composition to spend too many soldiers in the lower half and lose most of the upper half to me. If someone did decide to leave some of the lower half unstaffed, I'll snag the free castles without seriously diminishing my chances, and I expect to win against a lot of really top-heavy compositions by virtue of taking castles 6,7,8. To be perfectly honest, I didn't think about this very seriously, which might actually work to my advantage - after all, I'm just trying to beat everyone who thought one step ahead by thinking ahead by two."
1,1,1,1,1,16,26,26,26,1,"Goal is to try to achieve 28 points; Must take at least 4 castles, and at least one of the castles taken must be >6. I expect troop numbers to be frequently multiples of 5. I am willing to sacrifice the biggest castle if it means I am more likely to win potentially easier battles worth almost the same number of points."
1,1,1,1,1,16,21,26,31,1,"I didn't want to fight for castle 10 or castles worth relatively few points.  I put 1 troop on each in case they were completely uncontested though.  I put most of my forces into the high value castles 6-9, weighted more heavily toward the more valuable castles.  In case others used round numbers, I went with quantities ending in 1 and 6 instead of 0 and 5.  I'd love to know how I do, though I don't expect to win."
1,1,1,1,1,16,1,26,26,26,"I'm a math teacher at a high school, we did this as an experiment all day and this deployment ended up being the winner."
1,1,1,1,1,15,20,29,30,1,"There are 55 total points so I need 28 to win.  9+8+7 gets me 24 of them.  I'm punting on castle 10 assuming others will put a lot of people there.  I'm hoping to get three of 9,8,7,6 plus enough other castles to get 28."
1,1,1,1,1,15,20,20,20,20,Just prioritizing the most points but still putting troops on other castles in case the enemy forgoes them
1,1,1,1,1,15,20,20,20,20,"Trying to win 4 of the top 5 as main path to success. If that doesn't work, picking up easy low points against people who tried similar strategies may work."
1,1,1,1,1,15,15,15,20,30,I was willing to sacrifice lower value castles to hopefully win larger castles.
